"Id","Title","Release_date","imdb_rating"
"238","The Godfather","1972-03-14",""
"278","The Shawshank Redemption","1994-09-23",""
"772071","Cuando Sea Joven","2022-09-14",""
"240","The Godfather Part II","1974-12-20",""
"424","Schindler's List","1993-12-15",""
"19404","Dilwale Dulhania Le Jayenge","1995-10-19",""
"129","Spirited Away","2001-07-20",""
"389","12 Angry Men","1957-04-10","7.8/10"
"372058","Your Name.","2016-08-26",""
"496243","Parasite","2019-05-30",""
"155","The Dark Knight","2008-07-14",""
"497","The Green Mile","1999-12-10",""
"995133","The Boy, the Mole, the Fox and the Horse","2022-12-25",""
"680","Pulp Fiction","1994-09-10",""
"372754","Dou kyu sei ? Classmates","2016-02-20",""
"429","The Good, the Bad and the Ugly","1966-12-23",""
"13","Forrest Gump","1994-06-23",""
"122","The Lord of the Rings: The Return of the King","2003-12-01",""
"704264","Primal: Tales of Savagery","2019-11-21",""
"769","GoodFellas","1990-09-12",""
"820067","The Quintessential Quintuplets Movie","2022-05-20",""
"696374","Gabriel's Inferno","2020-05-29",""
"346","Seven Samurai","1954-04-26",""
"11216","Cinema Paradiso","1988-11-17",""
"637","Life Is Beautiful","1997-12-20",""
"12477","Grave of the Fireflies","1988-04-16",""
"539","Psycho","1960-06-22",""
"311","Once Upon a Time in America","1984-05-23",""
"724089","Gabriel's Inferno: Part II","2020-07-31",""
"550","Fight Club","1999-10-15",""
"667257","Impossible Things","2021-06-17",""
"761053","Gabriel's Inferno: Part III","2020-11-19",""
"510","One Flew Over the Cuckoo's Nest","1975-11-19",""
"598","City of God","2002-08-30",""
"620249","The Legend of Hei","2019-08-27",""
"324857","Spider-Man: Into the Spider-Verse","2018-12-14",""
"4935","Howl's Moving Castle","2004-09-09",""
"157336","Interstellar","2014-11-05",""
"14537","Harakiri","1962-09-15",""
"92321","Hotarubi no Mori e","2011-09-17",""
"120","The Lord of the Rings: The Fellowship of the Ring","2001-12-18",""
"378064","A Silent Voice: The Movie","2016-09-17",""
"1891","The Empire Strikes Back","1980-05-20",""
"40096","A Dog's Will","2000-09-15",""
"423","The Pianist","2002-09-17",""
"121","The Lord of the Rings: The Two Towers","2002-12-18",""
"244786","Whiplash","2014-10-10",""
"652837","Josee, the Tiger and the Fish","2020-12-25",""
"553512","Burn the Stage: The Movie","2018-11-15",""
"18491","Neon Genesis Evangelion: The End of Evangelion","1997-07-19",""
"807","Se7en","1995-09-22",""
"27205","Inception","2010-07-15",""
"599","Sunset Boulevard","1950-08-10",""
"567","Rear Window","1954-08-01",""
"73","American History X","1998-07-01",""
"255709","Hope","2013-10-02",""
"274","The Silence of the Lambs","1991-02-14",""
"3782","Ikiru","1952-10-09",""
"914","The Great Dictator","1940-10-15",""
"128","Princess Mononoke","1997-07-12",""
"851644","20th Century Girl","2022-10-06",""
"901","City Lights","1931-02-01",""
"533514","Violet Evergarden: The Movie","2020-09-18",""
"12493","High and Low","1963-03-01",""
"101","L?on: The Professional","1994-09-14",""
"207","Dead Poets Society","1989-06-02",""
"644479","Dedicated to my ex","2019-11-01",""
"105","Back to the Future","1985-07-03",""
"795607","Green Snake","2021-07-23",""
"3082","Modern Times","1936-02-05",""
"630566","Clouds","2020-10-09",""
"568300","BTS World Tour: Love Yourself in Seoul","2019-01-26",""
"527641","Five Feet Apart","2019-03-14",""
"20334","The Shop Around the Corner","1940-01-12",""
"25237","Come and See","1985-07-09",""
"315162","Puss in Boots: The Last Wish","2022-12-07",""
"335","Once Upon a Time in the West","1968-12-21",""
"441130","Wolfwalkers","2020-10-26",""
"361743","Top Gun: Maverick","2022-05-24",""
"283566","Evangelion: 3.0+1.0 Thrice Upon a Time","2021-03-08",""
"447362","Life in a Year","2020-11-27",""
"28","Apocalypse Now","1979-08-15",""
"29259","Le Trou","1960-03-18",""
"16672","Woman in the Dunes","1964-02-15",""
"10494","Perfect Blue","1997-07-25",""
"975","Paths of Glory","1957-10-25",""
"10376","The Legend of 1900","1998-10-28",""
"632632","Given","2020-08-22","7.7/10"
"77338","The Intouchables","2011-11-02",""
"637920","Miracle in Cell No. 7","2019-10-10",""
"618344","Justice League Dark: Apokolips War","2020-05-05",""
"537061","Steven Universe: The Movie","2019-09-02",""
"15804","A Brighter Summer Day","1991-07-27",""
"265177","Mommy","2014-09-19",""
"670","Oldboy","2003-11-21",""
"575813","Better Days","2019-10-25",""
"299534","Avengers: Endgame","2019-04-24",""
"299536","Avengers: Infinity War","2018-04-25",""
"740937","Simone, The Journey of the Century","2021-11-22",""
"508965","Klaus","2019-11-08",""
"797","Persona","1966-10-18",""
"8587","The Lion King","1994-06-23",""
"1585","It's a Wonderful Life","1946-12-20",""
"42269","We All Loved Each Other So Much","1974-12-21",""
"635302","Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train","2020-10-16",""
"290098","The Handmaiden","2016-06-01",""
"110420","Wolf Children","2012-07-21",""
"490132","Green Book","2018-11-16",""
"504253","I Want to Eat Your Pancreas","2018-09-01",""
"5156","Bicycle Thieves","1948-11-24",""
"572154","Rascal Does Not Dream of a Dreaming Girl","2019-06-15",""
"556574","Hamilton","2020-07-03",""
"24188","Il Sorpasso","1962-12-05",""
"18148","Tokyo Story","1953-11-03",""
"284","The Apartment","1960-06-21",""
"555604","Guillermo del Toro's Pinocchio","2022-11-09",""
"354912","Coco","2017-10-27",""
"37257","Witness for the Prosecution","1957-12-17","8.4/10"
"694","The Shining","1980-05-23",""
"522924","The Art of Racing in the Rain","2019-08-08",""
"31414","Satantango","1994-02-08",""
"490","The Seventh Seal","1957-02-16",""
"185","A Clockwork Orange","1971-12-19",""
"16869","Inglourious Basterds","2009-08-19",""
"791373","Zack Snyder's Justice League","2021-03-18",""
"610892","Violet Evergarden: Eternity and the Auto Memory Doll","2019-09-06",""
"518068","Along with the Gods: The Last 49 Days","2018-08-01",""
"11","Star Wars","1977-05-25",""
"857","Saving Private Ryan","1998-07-24",""
"592350","My Hero Academia: Heroes Rising","2019-12-20",""
"10098","The Kid","1921-01-21",""
"98","Gladiator","2000-05-04",""
"755812","Miraculous World: New York, United HeroeZ","2020-12-18",""
"1124","The Prestige","2006-10-19",""
"1398","Stalker","1979-05-25",""
"603","The Matrix","1999-03-30",""
"810693","Jujutsu Kaisen 0","2021-12-24",""
"50014","The Help","2011-08-09","8.1/10"
"422","8?","1963-02-14",""
"11324","Shutter Island","2010-02-14",""
"629","The Usual Suspects","1995-07-19",""
"762975","Purple Hearts","2022-07-29",""
"313106","Doctor Who: The Day of the Doctor","2013-11-23",""
"823754","Bo Burnham: Inside","2021-07-22",""
"426","Vertigo","1958-05-28",""
"324786","Hacksaw Ridge","2016-10-07",""
"476292","Maquia: When the Promised Flower Blooms","2018-02-24",""
